Object,City of the judge’s office,Tax Related,Number of Lawyers,Number of Legal Parties,Number of Persons,Settlement,Value formatted,Unified Contribution formatted
OR-145009,Napoli,0,2,2,1,1.0,19405.264144633893,237.0
OR-145009,Venezia,0,2,2,1,3100.0024917692804,15155.656059791638,237.0
OR-140999,Palermo,0,2,1,1,2901.3279652659207,5000.0,98.0
OR-140999,Palermo,0,1,1,1,293.2122301451392,291.44093800920325,43.0
OR-145009,Napoli,0,2,1,1,2886.6583413380936,26000.0,237.0
OR-140999,Milano,0,2,0,2,277.4777425797034,2602.7560427171447,49.0
OR-145009,Firenze,0,1,2,1,2252.0718929438826,5200.0,97.3503101176653
*,Torino,0,1,1,1,1199.9999999999998,1204.293533734971,98.0
OR-145009,Palermo,0,2,2,1,1500.0,1826.3934721903713,98.0
OR-145999,Cagliari,0,1,2,0,3789.55326908246,3839.0955389446067,98.0
OR-145999,Milano,0,1,1,1,907.002563224681,900.0,43.0
OR-145999,Milano,0,1,1,1,940.8767831656423,903.389744507594,43.0
*,Torino,0,2,1,1,50.742712214867005,71.32932530485255,43.0
OR-140999,Milano,0,2,0,2,2.0,800.0,43.0
OR-140999,*,0,6,5,1,5000.0,5000.0,98.0
OR-145999,Genova,0,1,0,2,1157.4224021910188,1186.2187773439045,98.0
OR-145999,Milano,0,2,1,1,750.0000000000001,756.9908848657458,43.0
OR-145009,Palermo,0,3,1,2,2140.214626059769,2032.7045997812932,98.0
OR-145999,Bologna,0,1,1,1,600.0,596.0337656296316,43.0
OR-145009,Venezia,0,2,2,1,500.0,787.8835160742688,43.0
OR-145009,Milano,0,1,3,1,3970.0273332567804,11332.600661405118,237.0
OR-140999,Bologna,0,3,4,1,3186.102870107127,2470.1606844276153,98.0
OR-145999,Palermo,0,1,1,1,271.7318025019846,274.0426580585139,43.0
OR-145999,*,0,1,1,1,2411.835416748984,2483.08948242325,98.0
OR-140999,Milano,0,1,0,2,276.0,271.8340292304575,43.0
OR-145999,Palermo,0,2,2,1,1000.0000000000001,1769.6623790724198,85.0
OR-145009,*,0,2,1,1,4592.26940552166,4617.297257884529,98.0
OR-140999,Milano,0,1,1,1,529.4046661097142,520.3861434659206,43.0
OR-145999,Milano,0,1,0,2,257.7118680200458,730.7641678205866,43.0
OR-140999,Milano,1,1,0,2,500.1022939501045,523.5179543073587,43.0
OR-140999,Milano,0,2,0,3,4224.433021872052,4331.9209076798,98.0
OR-140999,Roma,0,2,0,2,600.0,604.7618581940069,43.0
OR-140999,Napoli,0,0,1,3,634.1088358427324,750.6426501149566,43.0
OR-145009,Milano,0,1,1,1,551.3676640579739,564.8072342281546,43.0
OR-140999,Torino,0,1,3,0,2635.2879182774004,2789.462443775308,98.0
OR-145999,Firenze,0,1,1,1,200.0,200.0,43.0
OR-145999,Milano,0,2,1,2,653.7604604464065,1991.75366406315,98.0
OR-145009,Bologna,0,2,0,2,797.3505371344878,3737.708035182905,49.0
OR-145009,Napoli,0,3,3,0,1000.0000000000001,1894.5800788751933,98.0
OR-145009,Milano,0,2,0,2,1572.1302447437524,5000.0,98.0
OR-140999,Venezia,0,1,1,1,892.4438990686953,1152.020059990184,98.0
OR-145009,Roma,0,3,1,2,1586.0723407978778,1536.9126209151905,98.0
OR-140999,Genova,0,1,0,2,350.18862176898324,335.78438839085624,43.0
OR-145009,*,0,2,1,1,3176.629474330467,3052.3813730375605,98.0
OR-145999,Milano,0,2,0,2,2075.4140712238736,2307.5443004627687,98.0
OR-140999,Palermo,0,2,1,1,718.6073522085313,1000.0,43.0
OR-145999,*,0,1,0,2,1290.4005724458134,1150.0563031371335,98.0
OR-145999,Roma,0,2,0,2,250.0,250.0,43.0
OR-145009,*,0,2,1,1,950.5784405469013,10000.0,206.0
OR-145009,Napoli,0,2,2,1,1982.0958109200665,16556.903755467763,237.0
OR-145009,Napoli,0,1,1,1,500.0,500.0,43.0
OR-140999,Firenze,0,2,0,2,2145.4786191057146,2246.6226416027284,98.0
OR-140999,Roma,0,3,3,0,738.2042105894578,1500.0,98.0
OR-140999,Napoli,0,1,1,1,1945.3594824920078,4983.656120936422,98.0
OR-140999,Napoli,0,1,1,1,3592.554448834413,4374.716407939044,98.0
OR-140999,Firenze,0,1,0,2,200.0,200.0,43.0
OR-140999,Roma,0,2,1,1,250.0,267.04143710744836,43.0
OR-140999,Bari,0,1,0,2,1800.0,1788.3502664404286,98.0
OR-145009,Milano,0,2,0,2,3567.8263679752604,5000.0,85.0
OR-140999,Bologna,0,1,2,0,1000.0000000000001,991.6074403360803,43.0
OR-145009,Palermo,0,1,2,1,3101.9535304519645,5000.0,98.0
OR-145009,Firenze,0,2,1,1,2909.2092620152393,6282.025353298638,237.0
OR-140999,*,0,2,1,1,1153.3064825472802,1141.9596661201958,49.0
OR-145009,*,0,2,1,1,688.0306575018753,4938.3342912735225,98.0
OR-145999,Bari,0,2,2,0,3000.0,4027.4898762014263,98.0
OR-145009,Milano,0,2,1,1,180.33188297982093,1033.5863400664316,43.0
OR-140999,Milano,0,1,2,1,250.0,250.0,43.0
OR-145999,Milano,0,2,2,1,1199.9999999999998,5200.0,98.0
OR-145009,Milano,0,2,1,2,1628.554574740172,1547.3269007499825,98.0
OR-145009,Firenze,0,2,1,2,2425.8522949847666,2204.966853236349,98.0
OR-140999,*,0,2,2,1,2330.6200201734205,8005.016506494275,237.0
OR-145009,Milano,0,2,1,2,10298.444076066568,10004.05639053215,237.0
OR-140999,Milano,0,1,1,1,900.0,894.1910845616584,43.0
OR-145999,Roma,0,1,0,2,752.5541842742708,787.1426871481016,43.0
OR-145009,Cagliari,0,2,0,2,600.0,605.5497354999512,43.0
OR-140999,*,0,2,1,1,2626.2012948497463,2599.7203060065026,49.0
*,Bologna,0,2,3,0,357.9215025180065,818.3771829822771,43.0
OR-140999,Cagliari,0,2,0,2,600.0,1033.0,43.0
OR-140999,Milano,0,1,0,2,1840.758371194081,1800.0,98.0
OR-140999,Palermo,0,1,1,1,3173.154726621651,3798.1136158810073,98.0
OR-140999,Napoli,0,3,1,2,2419.901439502735,5631.946077243657,206.0
OR-140999,Genova,0,1,1,1,341.68941407959824,344.2574740447656,43.0
OR-140999,Palermo,0,1,1,1,2255.3599032494026,2275.456350120368,98.0
OR-140999,*,0,1,0,2,5000.0,5000.0,98.0
OR-145009,Palermo,0,2,1,1,5172.309464485326,20000.0,237.0
OR-145999,Napoli,0,2,2,1,5200.0,5200.0,98.0
OR-140999,Palermo,0,2,1,2,1032.2255842000045,2260.101558789564,85.0
OR-145009,Bologna,0,3,2,3,6949.4374298244265,5903.860443799378,237.0
OR-145009,Bari,0,3,2,2,7314.742492967873,5200.0,98.0
OR-145009,*,0,2,1,3,5773.392250511861,26000.0,237.0
OR-140999,Palermo,0,2,1,1,3122.7184788086,3097.4841434587083,49.0
OR-140999,*,0,1,0,2,681.3329568341403,657.4702728131253,43.0
OR-145009,Milano,0,1,1,1,1567.1755887789964,1547.0933887198003,98.0
OR-145999,Torino,0,1,1,2,184.0459907759269,483.37283033024784,43.0
OR-140999,Roma,0,2,1,1,136.264505260211,640.6763621448303,43.0
OR-145009,Roma,0,2,2,2,1.0,2701.972407157194,98.0
OR-145999,Palermo,0,1,3,0,2501.431593817988,2613.8745519452445,98.0
OR-140999,*,0,3,2,1,4514.003417871712,4939.561085182383,98.0
OR-140999,Genova,0,2,2,0,3611.1002777557937,3517.4235949621248,49.0
OR-140999,Milano,0,2,0,2,800.0,500.0,43.0
OR-145009,Palermo,0,3,2,1,2143.876308810719,8731.501832224501,206.0
OR-140999,Genova,0,1,1,1,552.2667003791682,546.8068051386296,43.0
OR-140999,Bari,0,1,2,0,3869.8045402886337,3856.7878378112,98.0
OR-145999,*,0,1,1,1,2029.2358960183276,2133.8991318712524,98.0
OR-145999,Napoli,0,2,1,1,1051.2909693598372,1032.0,43.0
OR-140999,Milano,0,1,0,2,1300.3004983624546,1271.7082782821806,98.0
OR-145999,Milano,0,1,0,2,228.25344850777878,141.28454743003869,43.0
OR-140999,Genova,0,2,0,2,709.598513027978,711.794615951438,43.0
OR-145009,Milano,0,3,2,4,4472.903522129631,7092.953964646527,237.0
OR-145999,Milano,0,1,0,2,1789.4596445202199,1873.0091033716242,98.0
OR-145009,Roma,0,2,1,1,301.9502260103214,1584.9419619790503,98.0
OR-145009,Palermo,0,1,1,1,1199.9999999999998,1215.2973415039164,98.0
OR-145999,*,0,2,1,2,435.39835008215124,642.2603577975043,43.0
OR-145009,Napoli,0,3,2,2,3438.513621031883,4540.279854173045,98.0
OR-145009,Torino,0,2,0,2,1.0,3000.0,98.0
OR-140999,Milano,0,1,1,1,227.55701337868194,240.59961549324396,43.0
OR-145999,Milano,0,2,1,1,221.7577544333502,229.0819241408762,43.0
OR-140999,Firenze,0,2,1,1,940.0315074861016,964.2429282294082,43.0
OR-145999,Milano,0,1,0,2,805.0564790766128,805.4199909114171,43.0
OR-145009,Milano,0,1,0,2,1500.0,1500.0,98.0
OR-140999,Milano,0,2,1,1,400.00000000000006,402.88107371408927,43.0
OR-145009,Venezia,0,1,2,1,1199.9999999999998,5200.0,98.0
OR-140999,Cagliari,0,3,1,2,750.0000000000001,1501.211763545437,98.0
OR-140999,Cagliari,0,1,1,1,1408.8758437491397,1453.1531197192203,98.0
OR-145009,*,0,4,1,3,3529.5427266857023,4502.400772420926,85.0
OR-145009,Napoli,0,2,1,1,912.0636859215693,1060.0434791758832,43.0
OR-145999,Roma,0,2,0,2,1.0,5200.0,98.0
OR-145009,*,0,2,2,1,400.00000000000006,2808.504831776645,98.0
OR-140999,Milano,0,1,1,1,250.0,250.0,43.0
OR-140999,Palermo,0,2,1,2,1032.91,1032.0,43.0
OR-145009,Cagliari,0,2,2,1,2187.120386332076,2246.2405723095285,98.0
OR-140999,Torino,0,2,1,1,1709.4788878226223,4991.590038699379,98.0
OR-145009,Bologna,0,2,2,1,1194.1807114742815,2080.228111545597,85.0
OR-145009,Palermo,0,2,1,1,11142.899487755687,20000.0,237.0
OR-140999,Milano,0,1,1,1,849.9254517396112,868.2679506480495,43.0
OR-145009,Milano,0,1,1,1,250.0,1000.0,43.0
OR-140999,Genova,0,1,1,1,250.0,250.0,43.0
OR-145009,*,0,4,3,3,8014.197755750306,3827.558519747392,98.0
OR-145999,Milano,0,2,0,2,1959.8356512938733,2000.0,98.0
OR-145009,Milano,0,1,1,1,280.25833178563556,296.08453760233306,43.0
OR-145009,*,0,2,2,1,3134.321092870758,3039.712186889734,98.0
OR-145009,Milano,0,2,2,1,824.3048323605638,5200.0,98.0
OR-140999,Roma,0,1,1,1,1105.7268513487807,1100.0,43.0
OR-145009,Milano,0,2,1,1,3652.823101646595,11454.276510954869,237.0
OR-145009,Roma,0,2,1,1,3197.5719618000244,3082.122712902907,98.0
OR-140999,Firenze,0,2,1,1,1797.2841204113297,5436.296260999659,237.0
OR-145009,Milano,0,2,2,1,1870.7450610072406,8823.105523937107,237.0
OR-145009,Napoli,0,4,2,2,1987.3449819517878,9640.206073343446,206.0
OR-140999,Milano,0,2,2,1,3070.4873599542993,5000.0,98.0
OR-140999,Milano,0,1,0,2,1440.1281284402824,1441.7253114298562,85.0
OR-145009,Milano,0,2,1,1,2591.304562855763,4775.629832721031,98.0
OR-140999,Bari,0,2,1,1,1032.91,1033.0,21.5
OR-145999,*,0,1,1,1,250.0,250.0,43.0
OR-140999,Milano,0,4,0,4,1459.9197047487803,1568.6022615909296,206.0
OR-145009,Roma,0,2,2,1,500.0,5200.0,98.0
OR-145999,Roma,0,2,1,1,509.8321265849215,516.0,43.0
OR-145009,Bari,0,2,3,1,4206.707415673967,16320.98767710504,237.0
OR-140999,Milano,0,1,2,1,1261.197514594994,5200.0,98.0
OR-145999,Palermo,0,2,1,1,3609.456580533784,3655.2980161790106,49.0
OR-145999,*,0,1,0,2,250.0,400.0,43.0
OR-140999,Firenze,0,1,1,1,1630.4282461933178,2055.105253991766,98.0
OR-140999,*,0,2,1,1,738.5238725240148,3209.5688865912325,98.0
OR-140999,Milano,0,2,1,1,600.0,1000.0,43.0
OR-145009,Palermo,0,3,2,1,807.4488255377548,834.7549429753902,43.0
OR-140999,Napoli,1,1,1,2,356.4266934142254,900.0,43.0
OR-145009,Bologna,0,1,1,1,574.6202595076007,553.5770783574739,43.0
OR-145009,Napoli,0,1,2,2,4780.709879709788,26000.0,237.0
OR-145009,Roma,0,2,1,1,1.3772087083659998,3879.9923486636762,41.08192881326929
OR-140999,Napoli,0,2,1,1,500.0,1032.0,43.0
OR-145009,Bologna,0,2,1,1,1114.9680151729592,1179.4845396016085,49.0
OR-140999,*,0,3,3,0,500.0,1328.5233660131807,98.0
OR-140999,Napoli,0,2,1,1,286.08317449004164,1032.0,43.0
OR-145009,Palermo,0,2,1,1,3752.892483782212,3799.091756275247,98.0
OR-145009,Bari,0,2,2,1,1577.4800014171904,5200.0,85.0
OR-140999,Milano,0,1,1,1,546.9745313521413,555.7395895795108,43.0
OR-140999,Roma,0,2,1,1,344.37663533888,354.7893945454892,43.0
OR-145999,*,0,1,1,1,223.0863347124068,239.1221139608828,43.0
OR-145009,Roma,0,2,1,1,1779.1778143475462,1812.4097775522916,98.0
OR-145009,Roma,0,4,2,2,1.0,3601.434047863349,98.0
OR-140999,Roma,0,2,1,1,136.54659424535447,144.86141687124942,43.0
OR-140999,Napoli,0,1,1,1,642.2682849714253,750.7809579629461,43.0
OR-145999,Torino,0,2,1,1,1032.91,3359.9946679477584,98.0
OR-140999,*,0,5,5,0,500.0,880.8415559196078,43.0
OR-145009,Firenze,0,1,1,1,3000.0,3000.0,98.0
OR-145999,Milano,0,1,1,2,2500.0,3195.296742221229,98.0
OR-140999,Napoli,0,0,1,1,829.2103360253152,783.1796853951639,43.0
OR-140999,Roma,0,2,1,1,100.0,500.0,43.0
*,Milano,0,1,2,0,350.0,326.897890804426,43.0
OR-145999,Milano,0,1,2,0,1479.8644725535771,5200.0,98.0
OR-145009,Palermo,0,1,1,1,500.0,1032.0,43.0
OR-140999,Milano,0,1,2,0,617.6197243396099,647.4656542346463,43.0
OR-140999,Milano,0,2,2,0,1528.330991527763,1492.2040314386509,49.0
OR-145999,Torino,0,2,0,2,250.0,250.0,43.0
OR-140999,Milano,0,2,1,1,250.0,250.0,43.0
OR-140999,Roma,0,2,1,1,600.0,603.1205461540965,43.0
*,Cagliari,0,2,2,0,1595.7861845804484,3000.0,98.0
OR-145999,Roma,0,2,1,1,1707.8735373514758,2743.8607806484524,98.0
OR-140999,Napoli,1,1,1,2,1.0,883.484305246479,43.0
OR-145009,Torino,0,2,1,1,1153.7157650867455,2706.526521390675,98.0
OR-145999,Roma,0,1,1,1,269.7979961439248,277.278675056044,43.0
OR-145009,Torino,0,2,1,1,40.52176434408318,1032.0,43.0
OR-145999,Palermo,0,1,1,1,1849.609993556939,1898.2331807871585,98.0
OR-140999,Napoli,0,1,1,2,945.9508906783194,917.4187015764089,43.0
